customer_id,full_name,cpf_cnpj,date_of_birth,annual_income_brl,declared_occupation,risk_rating,registration_date,country,state,city,beneficial_owner,pep,kyc_tier,kyc_risk_score,sanctions_list_hit
C100037,Customer 38,76174093192,1987-10-07,17234,Student,Medium,2023-05-31,BR,PR,Curitiba,No,No,L3,33,No
C100038,Customer 39,7074137484,1999-09-09,10500,Lawyer,Low,2021-04-30,BR,PE,Recife,No,No,L3,69,No
C100039,Customer 40,41704718746,1976-10-28,7547,Freelancer,High,2022-05-13,BR,RN,Natal,No,No,L1,49,No
C100040,Customer 41,28452984153,2002-09-01,13773,Driver,Medium,2024-06-02,BR,RN,Natal,No,No,L1,43,No
C100041,Customer 42,7764265651,1987-09-22,16464,Consultant,Low,2023-10-17,BR,SP,São Paulo,No,No,L2,24,No
C100042,Customer 43,30445166915,1996-05-27,32112,Consultant,Low,2020-07-16,BR,GO,Goiânia,Yes,No,L2,94,No
C100043,Customer 44,4234685356,1960-08-08,6217,Lawyer,Medium,2024-06-26,BR,GO,Goiânia,No,No,L3,75,No
C100044,Customer 45,10679247082,1973-04-27,9171,Trader,Low,2023-02-28,BR,PE,Recife,No,No,L2,68,No
C100045,Customer 46,46347861221,1976-08-25,51701,Dentist,Medium,2025-07-29,BR,BA,Salvador,No,No,L3,30,No
C100046,Customer 47,75762833125,2007-11-14,21923,Lawyer,Low,2024-02-17,BR,RJ,Rio de Janeiro,No,No,L2,82,No
C100047,Customer 48,6668364507,1982-11-24,8400,Lawyer,High,2021-05-30,BR,DF,Brasília,No,No,L3,43,No
C100048,Customer 49,14366764020,1996-02-23,15422,Teacher,Medium,2025-04-22,BR,PA,Belém,No,No,L3,79,No
C100049,Customer 50,1687731322,2004-11-11,29609,Store Owner,Low,2025-02-16,BR,AM,Manaus,No,No,L1,71,No
C100050,Customer 51,2390424861,1966-12-03,12129,Trader,Low,2022-02-24,BR,RJ,Rio de Janeiro,No,No,L2,67,No
C100051,Customer 52,39008474537,2005-03-20,17540,Entrepreneur,Low,2020-04-29,BR,RS,Porto Alegre,No,No,L2,22,No
C100052,Customer 53,376143653,2002-03-23,13902,Chef,Medium,2024-09-18,BR,SP,São Paulo,No,No,L2,82,No
C100053,Customer 54,30481373433,1999-09-23,19332,Teacher,Low,2023-04-23,BR,RS,Porto Alegre,No,No,L1,45,No
C100054,Customer 55,92376092603,1960-02-14,4570,Store Owner,Low,2020-07-31,BR,DF,Brasília,Yes,No,L3,100,No
C100055,Customer 56,26751125328,1999-12-14,4990,Accountant,Low,2024-03-30,BR,SP,São Paulo,No,No,L2,72,No
C100056,Customer 57,72101415618,1976-08-10,29204,Freelancer,Low,2023-06-18,BR,CE,Fortaleza,No,No,L2,62,No
C100057,Customer 58,7358735570,2014-09-02,6675,Chef,Low,2024-07-15,BR,CE,Fortaleza,No,No,L1,33,No
C100058,Customer 59,7104319554,1988-01-20,19654,Entrepreneur,Low,2023-07-20,BR,DF,Brasília,Yes,No,L2,76,No
C100059,Customer 60,9103177646,2002-04-10,8062,Entrepreneur,High,2022-01-19,BR,MG,Belo Horizonte,No,No,L1,53,No
C100060,Customer 61,29355759183,1993-02-20,21911,Store Owner,Low,2024-07-28,BR,GO,Goiânia,No,No,L1,48,No
C100061,Customer 62,78852611491,1976-09-09,11301,Dentist,Low,2025-01-04,BR,RJ,Rio de Janeiro,No,No,L1,60,No
C100062,Customer 63,26793814449,1982-01-05,18224,Nurse,Low,2022-12-02,BR,SC,Florianópolis,No,No,L1,94,No
C100063,Customer 64,32332493516,1980-07-30,14241,Consultant,Low,2022-08-05,BR,RS,Porto Alegre,Yes,No,L3,55,No
C100064,Customer 65,70107375043,1968-09-11,8562,Designer,Low,2022-03-06,BR,SP,São Paulo,No,No,L1,60,No
C100065,Customer 66,82794019953,1961-05-12,15822,Trader,Low,2020-06-29,BR,SC,Florianópolis,No,Yes,L1,74,No
C100066,Customer 67,9305652941,1976-04-01,15082,Mechanic,Medium,2025-06-03,BR,SP,São Paulo,No,No,L1,49,No
C100067,Customer 68,16828126464,2017-11-29,20865,Designer,Low,2020-07-29,BR,PR,Curitiba,No,No,L2,83,No
C100068,Customer 69,66053663062,1996-01-07,11780,Designer,Medium,2024-07-21,BR,RJ,Rio de Janeiro,No,No,L3,65,No
C100069,Customer 70,72200826199,1991-04-09,35980,Entrepreneur,Low,2021-08-20,BR,PA,Belém,No,No,L2,60,No
C100070,Customer 71,28211673420,2001-04-23,36267,Driver,Low,2024-05-07,BR,SC,Florianópolis,No,No,L1,48,No
C100071,Customer 72,39693729306,2004-06-18,14713,Dentist,Low,2021-05-19,BR,MG,Belo Horizonte,No,No,L1,55,No
C100072,Customer 73,30805169784,2016-03-24,16939,Chef,Low,2022-10-17,BR,CE,Fortaleza,No,No,L2,79,No
C100073,Customer 74,57872009773,1998-02-01,12206,Teacher,Low,2025-02-20,BR,GO,Goiânia,No,No,L1,40,No
C100074,Customer 75,61125651788,2016-12-13,35301,Accountant,Low,2021-06-17,BR,SP,São Paulo,No,No,L1,76,No
C100075,Customer 76,81086201913,1969-10-22,5461,Dentist,Low,2021-11-07,BR,RN,Natal,Yes,No,L3,67,No
C100076,Customer 77,15942594724,2003-01-21,40353,Dentist,Low,2022-12-12,BR,RN,Natal,No,No,L3,61,No
C100077,Customer 78,55032624562,1981-09-18,11944,Designer,Medium,2020-07-17,BR,RJ,Rio de Janeiro,No,No,L3,72,No
C100078,Customer 79,78891486546,1991-02-06,22240,Nurse,Low,2023-09-17,BR,DF,Brasília,No,No,L1,45,No
C100079,Customer 80,32904844950,1961-01-12,11470,Designer,Low,2024-11-05,BR,RS,Porto Alegre,No,No,L2,51,No
C100080,Customer 81,2739000095,1985-04-01,11334,Entrepreneur,Low,2022-07-07,BR,RJ,Rio de Janeiro,Yes,No,L2,17,No
C100081,Customer 82,92359722032,1998-06-13,5449,Trader,Low,2021-08-15,BR,RJ,Rio de Janeiro,No,No,L3,55,No
C100082,Customer 83,64008599798,2002-03-20,21861,Store Owner,Low,2020-01-02,BR,RS,Porto Alegre,No,No,L1,37,No
C100083,Customer 84,80623201098,2016-12-04,22139,Mechanic,Low,2022-03-28,BR,RS,Porto Alegre,No,No,L3,59,No
C100084,Customer 85,92841407806,1997-03-05,12574,Nurse,Medium,2020-11-25,BR,PA,Belém,No,No,L3,80,No
C100085,Customer 86,23143015404,2015-01-18,50992,Lawyer,Medium,2022-12-22,BR,BA,Salvador,No,No,L2,60,No
C100086,Customer 87,18024332536,1987-06-24,20019,Software Engineer,Low,2025-04-07,BR,DF,Brasília,No,No,L2,56,No
C100087,Customer 88,6394369919,1973-05-23,29094,Driver,Low,2021-04-03,BR,MG,Belo Horizonte,No,No,L1,57,No
C100088,Customer 89,52000201019,1990-08-09,7518,Chef,Medium,2020-09-27,BR,RS,Porto Alegre,No,No,L3,30,No
C100089,Customer 90,13331001471,1969-11-25,10877,Accountant,Medium,2022-04-19,BR,RJ,Rio de Janeiro,No,No,L2,36,No
C100090,Customer 91,56405440559,2003-03-12,9549,Software Engineer,Medium,2020-05-06,BR,PE,Recife,No,No,L2,47,No
C100091,Customer 92,68157089319,1983-10-05,10173,Store Owner,Low,2022-04-07,BR,MG,Belo Horizonte,No,No,L2,66,No
C100092,Customer 93,5717279584,2009-11-09,9289,Dentist,Low,2022-05-29,BR,MG,Belo Horizonte,No,No,L3,36,No
C100093,Customer 94,72117815516,1993-05-27,5897,Software Engineer,Medium,2020-12-18,BR,RN,Natal,No,No,L2,83,No
C100094,Customer 95,53446882637,1969-05-20,13885,Accountant,Low,2020-05-18,BR,BA,Salvador,No,No,L2,64,No
C100095,Customer 96,82785277493,1969-04-23,19929,Lawyer,Low,2022-09-01,BR,SC,Florianópolis,No,No,L3,31,No
C100096,Customer 97,44922359852,1979-03-12,15344,Consultant,High,2022-11-25,BR,SC,Florianópolis,No,No,L3,57,No
C100097,Customer 98,21362244643,1967-10-21,6786,Chef,Medium,2023-02-24,BR,AM,Manaus,No,No,L1,47,No
C100098,Customer 99,70066384702,1981-01-28,21181,Dentist,Medium,2020-01-23,BR,DF,Brasília,No,No,L3,75,No
C100099,Customer 100,69963932176,1986-01-30,83775,Dentist,Low,2021-02-04,BR,PR,Curitiba,No,No,L2,99,Yes
C100100,Customer 101,62467709682,2016-09-19,15498,Consultant,Medium,2024-05-11,BR,SC,Florianópolis,No,No,L2,61,No
C100101,Customer 102,4832385197,2006-07-16,14413,Designer,Medium,2025-09-28,BR,RS,Porto Alegre,No,No,L1,44,No
C100102,Customer 103,85673268195,2015-03-14,24064,Store Owner,Low,2024-04-13,BR,SP,São Paulo,Yes,No,L2,80,No
C100103,Customer 104,1665941346,2005-04-15,10872,Lawyer,High,2024-05-24,BR,RS,Porto Alegre,No,No,L2,44,No
C100104,Customer 105,22137832567,1984-05-29,11507,Designer,Low,2021-05-27,BR,GO,Goiânia,No,No,L2,15,No
C100105,Customer 106,34646270453,2016-09-16,17599,Freelancer,Low,2025-06-09,BR,PR,Curitiba,No,No,L2,95,No
C100106,Customer 107,52460195285,2014-10-21,16148,Freelancer,Low,2020-02-17,BR,DF,Brasília,No,No,L1,36,No
C100107,Customer 108,44919232752,1976-09-16,16147,Freelancer,Low,2021-11-18,BR,RN,Natal,No,No,L3,70,No
C100108,Customer 109,84373817181,1981-09-23,13475,Teacher,Low,2021-07-24,BR,CE,Fortaleza,No,No,L2,41,No
C100109,Customer 110,80772737289,1958-08-05,15628,Teacher,Medium,2025-03-31,BR,MG,Belo Horizonte,No,No,L3,56,No
C100110,Customer 111,47566125009,1962-02-12,18012,Teacher,Medium,2023-09-15,BR,AM,Manaus,No,No,L1,75,No
C100111,Customer 112,72036251557,2005-02-23,9426,Mechanic,Medium,2022-05-13,BR,BA,Salvador,No,No,L2,54,No
C100112,Customer 113,56480445765,2003-03-12,16710,Teacher,Medium,2023-11-13,BR,PR,Curitiba,No,No,L1,69,No
C100113,Customer 114,15354291068,1994-06-05,15721,Consultant,Low,2024-06-20,BR,BA,Salvador,No,No,L2,75,No
C100114,Customer 115,379088969,1971-03-12,17785,Store Owner,Medium,2020-12-05,BR,AM,Manaus,Yes,No,L1,27,No
C100115,Customer 116,72120610524,2008-06-05,37389,Mechanic,Low,2023-05-22,BR,PA,Belém,No,No,L1,45,No
C100116,Customer 117,5069907980,1968-08-30,30212,Freelancer,Medium,2024-07-15,BR,GO,Goiânia,Yes,No,L2,86,No
C100117,Customer 118,6992768117,1977-01-16,9753,Software Engineer,Low,2020-03-04,BR,RN,Natal,No,No,L2,29,No
C100118,Customer 119,1131270493,1998-06-11,12962,Student,Medium,2020-07-24,BR,PA,Belém,Yes,Yes,L2,47,No
C100119,Customer 120,14877400000,2016-05-18,22086,Entrepreneur,Medium,2020-11-22,BR,AM,Manaus,No,No,L2,4,No
C100120,Customer 121,49279055977,2018-09-22,19590,Driver,Low,2021-04-23,BR,MG,Belo Horizonte,No,No,L2,45,No
C100121,Customer 122,67674954409,2016-05-26,6565,Software Engineer,Medium,2023-09-22,BR,PA,Belém,No,No,L3,59,No
C100122,Customer 123,29496366693,1998-06-27,10460,Trader,Medium,2023-08-09,BR,PR,Curitiba,No,No,L2,78,No
C100123,Customer 124,62904292487,1989-02-12,21970,Lawyer,Low,2025-06-08,BR,BA,Salvador,No,No,L2,43,No
C100124,Customer 125,34906734906,1999-03-31,19820,Dentist,Low,2023-12-25,BR,BA,Salvador,No,No,L1,52,No
C100125,Customer 126,69848578933,1977-01-30,63121,Designer,Low,2023-04-02,BR,RS,Porto Alegre,No,No,L2,43,No
C100126,Customer 127,68230751571,1972-01-04,26545,Software Engineer,Low,2023-11-13,BR,SC,Florianópolis,No,No,L2,68,No
C100127,Customer 128,10397993446,1966-09-18,11241,Store Owner,Medium,2021-06-20,BR,PE,Recife,No,No,L2,40,No
C100128,Customer 129,53261000857,2001-09-04,15260,Chef,Medium,2020-09-19,BR,SP,Campinas,No,No,L3,45,No
C100129,Customer 130,11459318627,1972-04-30,53060,Store Owner,High,2022-06-27,BR,SC,Florianópolis,No,No,L1,3,No
C100130,Customer 131,45080048701,1970-12-28,16365,Entrepreneur,Medium,2022-03-25,BR,SC,Florianópolis,No,No,L3,53,No
C100131,Customer 132,99717554615,2001-03-07,25578,Software Engineer,Low,2022-09-03,BR,CE,Fortaleza,No,No,L1,81,No
C100132,Customer 133,73023195271,1992-07-19,17315,Accountant,Low,2020-11-03,BR,SP,Campinas,No,No,L2,55,No
C100133,Customer 134,53715253027,2007-08-24,11097,Mechanic,Low,2021-09-03,BR,RN,Natal,No,No,L2,63,No
C100134,Customer 135,63204945247,1967-10-20,33963,Student,Low,2025-05-30,BR,SC,Florianópolis,No,No,L1,36,No
C100135,Customer 136,80387414356,1981-06-18,31711,Entrepreneur,High,2021-02-03,BR,RS,Porto Alegre,No,No,L2,78,No
C100136,Customer 137,62042078582,1997-09-29,12490,Designer,Medium,2023-03-19,BR,SP,São Paulo,Yes,No,L1,47,No
C100137,Customer 138,60634922283,2021-11-04,13352,Teacher,Low,2020-11-20,BR,MG,Belo Horizonte,No,No,L1,63,No
C100138,Customer 139,42329394301,2020-02-08,11144,Designer,Low,2020-08-14,BR,PA,Belém,No,No,L3,75,No
C100139,Customer 140,54710672432,2008-07-09,6735,Designer,High,2020-05-30,BR,SP,Campinas,No,No,L1,74,No
C100140,Customer 141,99058781153,1986-10-18,7349,Store Owner,Medium,2024-04-11,BR,GO,Goiânia,Yes,No,L3,65,No
C100141,Customer 142,41778088203,1965-12-12,41994,Entrepreneur,Low,2021-11-18,BR,RS,Porto Alegre,No,No,L1,22,No
C100142,Customer 143,48001340997,2004-11-29,9599,Consultant,Medium,2021-02-25,BR,RS,Porto Alegre,Yes,No,L2,69,No
C100143,Customer 144,20417798411,1968-11-26,7293,Student,Medium,2022-07-20,BR,CE,Fortaleza,No,No,L1,65,No
C100144,Customer 145,97620669980,1993-06-30,9477,Dentist,Medium,2023-10-18,BR,SP,São Paulo,No,No,L2,24,No
C100145,Customer 146,56956805825,1980-05-13,43992,Consultant,Low,2020-02-17,BR,SP,Campinas,No,No,L2,55,No
C100146,Customer 147,82156380326,1993-08-15,8419,Store Owner,High,2025-02-01,BR,GO,Goiânia,No,No,L3,53,No
C100147,Customer 148,949480914,1968-12-01,10266,Entrepreneur,Low,2022-08-27,BR,BA,Salvador,No,No,L1,44,No
C100148,Customer 149,14521098417,2010-12-15,37081,Student,High,2024-12-07,BR,BA,Salvador,No,No,L1,50,No
C100149,Customer 150,46944318479,2020-05-03,22664,Designer,Low,2024-05-02,BR,DF,Brasília,No,No,L1,65,No
C100150,Customer 151,78497740353,1974-12-09,18195,Designer,Low,2024-06-11,BR,BA,Salvador,No,No,L1,36,No
C100151,Customer 152,23585744340,1959-12-15,8637,Store Owner,Low,2023-11-26,BR,MG,Belo Horizonte,Yes,No,L2,53,No
C100152,Customer 153,86751832655,1970-08-04,29331,Consultant,Low,2023-02-07,BR,AM,Manaus,No,No,L3,31,No
C100153,Customer 154,74261068917,1993-08-30,5126,Consultant,Low,2023-02-18,BR,DF,Brasília,No,No,L3,66,No
C100154,Customer 155,67745456889,1992-06-30,21495,Nurse,Low,2025-08-08,BR,AM,Manaus,No,No,L2,56,No
C100155,Customer 156,42842696931,1987-08-13,16982,Lawyer,High,2022-09-20,BR,SC,Florianópolis,No,No,L2,43,No
C100156,Customer 157,60004974848,2013-08-15,23221,Nurse,Low,2024-10-27,BR,CE,Fortaleza,No,No,L2,21,No
C100157,Customer 158,50957018316,1991-08-04,31683,Mechanic,Low,2021-09-23,BR,BA,Salvador,No,No,L1,46,No
C100158,Customer 159,76799581255,1990-11-23,77396,Consultant,Medium,2025-09-30,BR,RJ,Rio de Janeiro,No,No,L1,69,No
C100159,Customer 160,45862848383,1994-12-26,29103,Store Owner,Low,2021-03-12,BR,MG,Belo Horizonte,No,No,L2,72,No
C100160,Customer 161,60048046190,2017-12-09,17138,Trader,Low,2025-08-01,BR,SP,São Paulo,No,No,L3,85,No
C100161,Customer 162,88293691228,2003-09-16,24585,Teacher,Low,2020-11-07,BR,RJ,Rio de Janeiro,No,No,L1,85,No
C100162,Customer 163,79600952354,1973-03-14,15157,Freelancer,Low,2021-02-11,BR,SP,São Paulo,No,No,L3,50,No
C100163,Customer 164,53796003690,1997-06-11,35737,Store Owner,Low,2022-10-18,BR,SP,São Paulo,No,No,L1,66,No
C100164,Customer 165,29250746947,1964-01-22,45499,Entrepreneur,Medium,2022-06-25,BR,RS,Porto Alegre,No,No,L2,71,No
C100165,Customer 166,67031225620,1984-01-30,12963,Chef,Low,2021-04-15,BR,CE,Fortaleza,No,No,L2,75,No
C100166,Customer 167,56116583637,1983-06-11,23183,Software Engineer,Low,2020-05-23,BR,SC,Florianópolis,No,No,L2,66,No
C100167,Customer 168,52321348287,1999-11-26,16556,Designer,Medium,2022-09-10,BR,SP,Campinas,No,No,L1,37,No
C100168,Customer 169,53669347833,1998-08-12,21744,Nurse,Low,2022-12-04,BR,AM,Manaus,No,No,L3,36,No
C100169,Customer 170,95836983218,1966-03-17,13671,Student,Medium,2024-04-25,BR,BA,Salvador,No,No,L1,93,No
C100170,Customer 171,40612353118,1990-06-07,14186,Freelancer,Low,2023-05-01,BR,GO,Goiânia,No,No,L1,79,No
C100171,Customer 172,41342645672,1982-10-23,12274,Software Engineer,Low,2023-12-10,BR,MG,Belo Horizonte,No,No,L2,57,No
C100172,Customer 173,73651241493,2021-12-06,15582,Driver,Low,2020-06-12,BR,AM,Manaus,Yes,No,L3,74,No
C100173,Customer 174,63426084293,2009-02-25,26849,Designer,Medium,2022-11-09,BR,PE,Recife,Yes,No,L2,32,No
C100174,Customer 175,1409903105,1976-11-07,23075,Chef,Medium,2020-12-18,BR,GO,Goiânia,No,No,L2,73,No
C100175,Customer 176,93481567587,2003-08-20,7179,Student,Medium,2022-04-23,BR,SP,São Paulo,Yes,No,L2,88,No
C100176,Customer 177,73084282384,1980-05-26,34282,Freelancer,Low,2023-11-23,BR,SP,São Paulo,No,No,L2,57,No
C100177,Customer 178,34227733087,1969-12-10,11461,Student,Low,2023-05-11,BR,RN,Natal,No,No,L1,32,No
C100178,Customer 179,99351862297,1994-06-08,18744,Designer,Low,2023-03-31,BR,SP,Campinas,No,No,L1,77,No
C100179,Customer 180,73004431471,1972-06-22,12226,Driver,Low,2024-01-26,BR,SC,Florianópolis,No,No,L2,71,No
C100180,Customer 181,81007715941,2015-11-16,24005,Accountant,High,2025-06-23,BR,PE,Recife,No,No,L1,56,No
C100181,Customer 182,5149431200,1993-06-18,11344,Driver,Low,2024-02-15,BR,SP,Campinas,No,No,L1,63,No
C100182,Customer 183,14956255352,2007-06-12,25287,Store Owner,Low,2022-11-04,BR,RN,Natal,No,No,L1,47,No
C100183,Customer 184,1960376724,2012-01-24,8076,Dentist,Low,2021-08-04,BR,DF,Brasília,No,No,L3,38,No
C100184,Customer 185,22761077335,1958-04-02,13868,Student,Medium,2025-09-25,BR,SP,São Paulo,No,No,L2,34,No
C100185,Customer 186,41086517022,1991-12-27,10618,Lawyer,Low,2023-11-26,BR,PR,Curitiba,No,No,L3,30,No
C100186,Customer 187,71858768269,2013-08-11,19787,Accountant,Medium,2020-09-02,BR,RJ,Rio de Janeiro,No,No,L3,61,No
C100187,Customer 188,94996572458,2014-11-09,16818,Nurse,Medium,2022-06-30,BR,SP,São Paulo,No,No,L3,39,No
C100188,Customer 189,12958965839,1997-08-06,10732,Lawyer,Low,2022-07-19,BR,CE,Fortaleza,No,No,L1,39,No
C100189,Customer 190,81341384738,1999-02-07,10996,Freelancer,Low,2021-04-07,BR,RS,Porto Alegre,No,No,L3,1,No
C100190,Customer 191,61728881817,2019-07-17,15828,Teacher,Low,2022-02-23,BR,CE,Fortaleza,No,No,L3,72,No
C100191,Customer 192,12590630500,2020-12-21,10952,Consultant,High,2025-02-25,BR,DF,Brasília,No,No,L2,51,No
C100192,Customer 193,26193915255,2019-01-20,15214,Designer,Medium,2021-05-17,BR,SP,São Paulo,No,No,L1,41,No
C100193,Customer 194,88570951585,2012-02-07,20603,Designer,Low,2022-09-20,BR,RJ,Rio de Janeiro,No,No,L2,50,No
C100194,Customer 195,37097107114,1974-08-15,33162,Chef,Low,2023-04-02,BR,MG,Belo Horizonte,Yes,No,L3,26,No
C100195,Customer 196,29484700527,2003-01-07,30400,Driver,Medium,2020-05-25,BR,PE,Recife,No,No,L1,71,No
C100196,Customer 197,99672763981,1990-05-20,18342,Store Owner,Low,2023-06-28,BR,SC,Florianópolis,No,No,L1,85,No
C100197,Customer 198,32575976550,1988-02-06,34866,Dentist,Low,2022-07-17,BR,DF,Brasília,No,No,L1,100,No
C100198,Customer 199,79022464184,1990-01-05,12163,Store Owner,Low,2021-07-23,BR,DF,Brasília,No,No,L3,33,No
C100199,Customer 200,81369154321,1985-04-10,5148,Dentist,Low,2024-01-25,BR,GO,Goiânia,No,No,L3,50,No
C100200,Customer 201,58650557853,1979-01-25,28058,Nurse,Low,2022-04-21,BR,SC,Florianópolis,No,No,L1,35,No
C100201,Customer 202,67694291244,1980-08-14,15446,Lawyer,Low,2023-10-26,BR,PA,Belém,No,No,L1,35,No
C100202,Customer 203,91924957561,2001-06-20,26355,Software Engineer,Medium,2023-02-03,BR,SC,Florianópolis,Yes,No,L2,45,No
C100203,Customer 204,24303067394,2003-01-11,31301,Store Owner,Low,2022-09-17,BR,AM,Manaus,No,No,L3,77,No
C100204,Customer 205,29011952034,2006-03-04,26443,Lawyer,Medium,2023-08-15,BR,AM,Manaus,No,No,L1,62,No
C100205,Customer 206,55076952060,1965-10-28,28469,Chef,Low,2025-07-17,BR,AM,Manaus,No,No,L3,42,No
C100206,Customer 207,47005950695,1972-01-22,21197,Freelancer,Low,2022-05-12,BR,RJ,Rio de Janeiro,No,No,L1,100,No
C100207,Customer 208,55658982995,1978-08-20,60873,Entrepreneur,Low,2025-05-10,BR,PA,Belém,No,No,L1,63,No
C100208,Customer 209,87845884240,2008-01-27,8756,Dentist,Low,2024-01-24,BR,PE,Recife,No,No,L1,89,No
C100209,Customer 210,61092108838,1974-04-24,11894,Student,High,2024-02-06,BR,PR,Curitiba,No,No,L3,91,No
C100210,Customer 211,22805377356,1999-04-12,19245,Software Engineer,Low,2020-04-18,BR,RS,Porto Alegre,No,No,L1,64,No
C100211,Customer 212,16503966630,1980-08-08,44238,Dentist,Low,2024-11-11,BR,SP,São Paulo,No,No,L1,58,No
C100212,Customer 213,53564473927,1981-12-24,18365,Freelancer,Low,2023-05-14,BR,GO,Goiânia,Yes,No,L2,54,No
C100213,Customer 214,50732599739,1962-09-05,6536,Nurse,Medium,2024-01-16,BR,RN,Natal,No,No,L1,75,No
C100214,Customer 215,26240120242,2003-02-04,18840,Chef,Low,2021-11-22,BR,PA,Belém,Yes,No,L2,78,No
C100215,Customer 216,16565093300,1970-02-05,16867,Consultant,Low,2024-10-29,BR,BA,Salvador,No,No,L3,42,No
